age,qaly
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,0.82
19,0.82
20,0.82
21,0.82
22,0.82
23,0.82
24,0.82
25,0.84
26,0.84
27,0.84
28,0.84
29,0.84
30,0.84
31,0.84
32,0.84
33,0.84
34,0.84
35,0.87
36,0.87
37,0.87
38,0.87
39,0.87
40,0.87
41,0.87
42,0.87
43,0.87
44,0.87
45,0.85
46,0.85
47,0.85
48,0.85
49,0.85
50,0.85
51,0.85
52,0.85
53,0.85
54,0.85
55,0.86
56,0.86
57,0.86
58,0.86
59,0.86
60,0.86
61,0.86
62,0.86
63,0.86
64,0.86
65,0.88
66,0.88
67,0.88
68,0.88
69,0.88
70,0.88
71,0.88
72,0.88
73,0.88
74,0.88
75,0.86
76,0.86
77,0.86
78,0.86
79,0.86
80,0.86
81,0.86
82,0.86
83,0.86
84,0.86
85,0.86
86,0.86
87,0.86
88,0.86
89,0.86
90,0.86
91,0.86
92,0.86
93,0.86
94,0.86
95,0.86
96,0.86
97,0.86
98,0.86
99,0.86
100,0.86
