"age","males_lx","females_lx","males_Lx","females_Lx"
0,100000,100000,99681,99727
1,99647,99696,99634,99684
2,99623,99675,99615,99669
3,99608,99664,99602,99659
4,99595,99654,99590,99650
5,99584,99645,99579,99642
6,99574,99638,99570,99634
7,99565,99631,99561,99627
8,99557,99624,99553,99621
9,99550,99618,99546,99615
10,99542,99612,99538,99609
11,99534,99606,99530,99603
12,99526,99600,99521,99596
13,99516,99592,99511,99588
14,99505,99583,99498,99578
15,99490,99573,99480,99566
16,99469,99560,99455,99553
17,99440,99545,99422,99537
18,99403,99529,99382,99519
19,99360,99510,99336,99499
20,99311,99489,99285,99478
21,99258,99466,99231,99454
22,99204,99443,99176,99430
23,99148,99418,99119,99406
24,99091,99393,99061,99380
25,99032,99368,99002,99355
26,98971,99342,98940,99328
27,98908,99315,98876,99301
28,98843,99287,98809,99272
29,98775,99256,98740,99240
30,98705,99224,98669,99207
31,98632,99190,98595,99173
32,98558,99155,98519,99136
33,98480,99118,98440,99098
34,98399,99078,98356,99058
35,98313,99036,98269,99014
36,98224,98992,98178,98968
37,98130,98943,98081,98917
38,98030,98890,97977,98862
39,97923,98832,97865,98800
40,97806,98768,97743,98733
41,97678,98697,97609,98659
42,97539,98619,97465,98578
43,97388,98535,97307,98489
44,97224,98442,97137,98392
45,97047,98340,96953,98286
46,96857,98231,96757,98172
47,96655,98111,96548,98047
48,96439,97982,96324,97912
49,96207,97840,96083,97764
50,95955,97685,95821,97602
51,95683,97516,95537,97424
52,95387,97330,95230,97231
53,95068,97129,94897,97021
54,94723,96910,94538,96793
55,94349,96674,94150,96549
56,93946,96421,93731,96288
57,93511,96151,93278,96007
58,93039,95860,92788,95706
59,92529,95548,92256,95382
60,91976,95212,91681,95033
61,91378,94850,91060,94656
62,90733,94458,90389,94248
63,90036,94033,89666,93805
64,89285,93571,88885,93324
65,88474,93069,88042,92801
66,87599,92524,87134,92233
67,86657,91934,86155,91618
68,85641,91294,85101,90951
69,84547,90597,83967,90224
70,83371,89840,82746,89434
71,82105,89017,81433,88576
72,80742,88122,80016,87642
73,79270,87146,78484,86618
74,77676,86072,76824,85486
75,75947,84879,75022,84226
76,74070,83548,73066,82818
77,72031,82060,70938,81244
78,69810,80397,68619,79486
79,67391,78541,66095,77527
80,64759,76475,63354,75349
81,61907,74181,60394,72934
82,58840,71639,57220,70260
83,55558,68830,53830,67311
84,52059,65736,50225,64069
85,48348,62344,46414,60525
86,44436,58646,42414,56676
87,40354,54645,38268,52531
88,36152,50357,34031,48112
89,31891,45812,29771,43462
90,27646,41064,25568,38643
91,23501,36186,21508,33737
92,19544,31267,17683,28838
93,15872,26408,14187,24059
94,12567,21735,11077,19524
95,9679,17394,8446,15464
96,7305,13628,6284,11942
97,5355,10366,4559,8988
98,3850,7727,3240,6619
99,2700,5613,2242,4744
100,1846,3972,4175,9641
