age,population
0,299763
1,292625
2,297343
3,317680
4,310024
5,308695
6,316292
7,318691
8,325396
9,334705
10,332475
11,335856
12,339177
13,338932
14,336126
15,339732
16,337154
17,338066
18,342003
19,347367
20,350634
21,351796
22,355010
23,368410
24,388898
25,398802
26,399108
27,405142
28,410009
29,412553
30,417987
31,413329
32,411016
33,408759
34,413774
35,413157
36,405679
37,401242
38,399172
39,399557
40,396006
41,391104
42,388190
43,374923
44,363096
45,344790
46,335871
47,325563
48,322475
49,322466
50,324757
51,329238
52,336038
53,347355
54,349790
55,326278
56,321063
57,307524
58,300388
59,299015
60,301820
61,309559
62,312225
63,308665
64,304669
65,292403
66,285555
67,278170
68,269363
69,262725
70,253151
71,243938
72,239463
73,230394
74,225698
75,218527
76,209246
77,206721
78,207615
79,168971
80,156538
81,143040
82,124224
83,117055
84,103790
85,95253
86,85469
87,75536
88,66336
89,56442
90,46772
91,38403
92,32240
93,26151
94,21925
95,17415
96,12783
97,9194
98,6514
99,5040
100,7347
